Date, GM price
2013-06-06, 34.4400
2013-06-07, 35.0300
2013-06-10, 34.7400
2013-06-11, 33.9300
2013-06-12, 33.4500
2013-06-13, 34.5000
2013-06-14, 34.2900
2013-06-17, 33.7300
2013-06-18, 34.0100
2013-06-19, 33.6600
2013-06-20, 32.5600
2013-06-21, 32.2100
2013-06-24, 31.4200
2013-06-25, 31.8200
2013-06-26, 32.5500
2013-06-27, 33.1000
2013-06-28, 33.3100
2013-07-01, 34.0000
2013-07-02, 34.1000
2013-07-03, 34.1400
2013-07-05, 34.6700
2013-07-08, 34.6400
2013-07-09, 34.9200
2013-07-10, 35.3300
2013-07-11, 36.1400
2013-07-12, 36.4000
2013-07-15, 36.5000
2013-07-16, 36.1800
2013-07-17, 36.3600
2013-07-18, 36.8400
2013-07-19, 36.6100
2013-07-22, 36.7600
2013-07-23, 36.6100
2013-07-24, 37.1400
2013-07-25, 37.0800
2013-07-26, 36.6700
2013-07-29, 36.3800
2013-07-30, 36.5000
2013-07-31, 35.8700
2013-08-01, 36.4700
2013-08-02, 36.9500
2013-08-05, 36.7500
2013-08-06, 35.9600
2013-08-07, 35.4800
2013-08-08, 36.0100
2013-08-09, 36.0200
2013-08-12, 35.9800
2013-08-13, 35.8400
2013-08-14, 35.5700
2013-08-15, 34.5500
2013-08-16, 34.3800
2013-08-19, 34.4900
2013-08-20, 34.7900
2013-08-21, 34.5300
2013-08-22, 34.9900
2013-08-23, 35.0600
2013-08-26, 34.9200
2013-08-27, 33.6900
2013-08-28, 33.9200
2013-08-29, 34.4500
2013-08-30, 34.0800
2013-09-03, 34.1400
2013-09-04, 35.8500
2013-09-05, 36.3300
2013-09-06, 36.1500
2013-09-09, 36.4800
2013-09-10, 37.0000
2013-09-11, 36.3500
2013-09-12, 36.3700
2013-09-13, 36.0600
2013-09-16, 36.2200
2013-09-17, 36.7100
2013-09-18, 37.5800
2013-09-19, 37.2300
2013-09-20, 36.8300
2013-09-23, 37.1300
2013-09-24, 37.4400
2013-09-25, 37.1800
2013-09-26, 36.9500
2013-09-27, 36.3700
2013-09-30, 35.9700
2013-10-01, 35.9100
2013-10-02, 35.9400
2013-10-03, 35.2900
2013-10-04, 35.7000
2013-10-07, 35.1800
2013-10-08, 34.2100
2013-10-09, 34.1600
2013-10-10, 34.8500
2013-10-11, 35.3500
2013-10-14, 35.3300
2013-10-15, 34.7000
2013-10-16, 35.1300
2013-10-17, 35.6600
2013-10-18, 35.8900
2013-10-21, 35.5000
2013-10-22, 35.4100
2013-10-23, 35.0500
2013-10-24, 35.6300
2013-10-25, 35.5900
2013-10-28, 35.8000
2013-10-29, 36.0600
2013-10-30, 37.2300
2013-10-31, 36.9500
2013-11-01, 37.3900
2013-11-04, 37.4700
2013-11-05, 37.0900
2013-11-06, 36.5900
2013-11-07, 35.9200
2013-11-08, 36.6600
2013-11-11, 36.6800
2013-11-12, 36.6600
2013-11-13, 38.4400
2013-11-14, 38.5000
2013-11-15, 38.7700
2013-11-18, 38.5700
2013-11-19, 38.0100
2013-11-20, 37.6900
2013-11-21, 38.1200
2013-11-22, 37.6300
2013-11-25, 37.5500
2013-11-26, 37.6700
2013-11-27, 38.8500
2013-11-29, 38.7300
2013-12-02, 39.1100
2013-12-03, 38.1400
2013-12-04, 38.7100
2013-12-05, 39.0900
2013-12-06, 40.1700
2013-12-09, 40.9000
2013-12-10, 40.4000
2013-12-11, 40.1600
2013-12-12, 40.0500
2013-12-13, 40.0400
2013-12-16, 41.4400
2013-12-17, 41.5300
2013-12-18, 41.2700
2013-12-19, 40.3000
2013-12-20, 40.9900
2013-12-23, 41.2900
2013-12-24, 40.8800
2013-12-26, 41.5200
2013-12-27, 40.9400
2013-12-30, 40.6900
